date,open,high,low,close
05/02/2019,3409.57,3429.46,3400,3428.4

06/02/2019,3428.41,3441,3340.8,3367.36

07/02/2019,3366.01,3383.14,3352.01,3359

08/02/2019,3358.99,3711,3344,3621.99

09/02/2019,3622,3644.08,3597,3623.73

10/02/2019,3623.73,3654.28,3578.59,3648.84

11/02/2019,3648.85,3652,3579.38,3590.36

12/02/2019,3590.36,3618.77,3550,3588.06

13/02/2019,3588.06,3627.99,3562.98,3576.68

14/02/2019,3576.69,3589,3535.1,3561.5

15/02/2019,3561.49,3620.22,3545.89,3566.59

16/02/2019,3566.59,3607.36,3565.5,3582.37

17/02/2019,3582.37,3675,3557.43,3625.08

18/02/2019,3625.08,3917,3616.18,3867

19/02/2019,3867,3969.54,3841.54,3888.01

20/02/2019,3888.37,3967.19,3867.13,3938.99

21/02/2019,3939,3988,3869.45,3897.71

22/02/2019,3897.71,3956.43,3886.15,3942.02

23/02/2019,3942.02,4156.1,3911.3,4110

24/02/2019,4110,4188.79,3712.84,3734.22

25/02/2019,3734.23,3860,3731.09,3818.79

26/02/2019,3818.78,3826.37,3763.71,3799.48

27/02/2019,3799.49,3823.13,3655,3799.91

28/02/2019,3800.35,3910,3754.37,3792.14

01/03/2019,3792.14,3843,3791.31,3806.17

02/03/2019,3806.17,3818.08,3763,3809.7

03/03/2019,3809.7,3815.48,3763.62,3786.93

